Word,Definition
GDDR,(Graphics Double Data Rate) GDDR is double data rate (DDR) memory specialized for fast rendering on graphics cards (GPUs).
GDI,Graphics Device Interface<br>Is a Microsoft Windows application programming interface and core operating system component responsible for representing graphical objects and transmitting them to output devices such as monitors and printers.
Graphical User Interface (GUI),A user interface which displays images and pictures that allows a computer user to interact with a computer easily.
Globally Unique Identifier,"An identifier that is one of a kind to a specific user. For example, biometric data or a loginID for a social network."
Global Positioning System (GPS),Satellite-based system for determining the absolute location of places or geographic features.
GUID Partition Table (GPT),A disk partitioning style that allows more partitions and advanced partition<br>information when compared to the older MBR style disk partition scheme. Desktop computers only use GPT in specialized and limited cases due to its limited applicability.
Graphics Processing Unit (GPU),"A set of processors on a video card in a computer performing data parallel calculations to render objects (windows, etc.) on screen."
Global System for Mobile Communications (GSM),GSM stands for Global System for Mobile Communication and is now considered the standard for communication globally
Hardware Abstraction Layer (HAL),A component of the Windows operating system that resides in a file and is loaded into memory during the kernel loading phase of the Windows startup. (10)
hardware-assisted virtualization (HAV),A feature of a processor whereby it can provide enhanced support for hypervisor software to run virtual machines on a system. The feature must be enabled in UEFI/BIOS setup.
Hardware Compatibility List (HCL),A list of hardware components that have been tested and deemed compatible with a given operating system.
High-Bandwidth Digital Content Protection (HDCP),A feature of HDMI that prevents people from illegally copying HD DVDs. See also High-Definition Multimedia Interface (HDMI). (3)
hard disk drive (HDD),"The computer's nonvolatile, primary storage device for permanent storage of software and documents."
HDMI (High-Definition Multimedia Interface),"HDMI transfers uncompressed digital data. Typically, it is used for<br>connecting high definition video and audio devices."
host intrusion prevention systems (HIPS),Intrusion prevention systems that are installed on local systems.
HPFS (High-Performance File System),the file system introduced with IBM's OS/2 Version 1.2. HPFS is noted for handling large files across multiple hard disk volumes and long file names.
Hypertext Markup Language (HTML),"links documents, allowing users to move from one to another simply by clicking on a hot spot or link"
Home Theater PC (HTPC),"A PC that is designed to play and possibly record music, photos, movies, and video on a television or extra-large monitor screen."
Hypertext Transfer Protocol (HTTP),The set of rules that controls the transfer of web pages. It is a protocol that allows web browsers to talk to web servers.
HTTPS (Hypertext Transfer Protocol Secure),An encrypted version of HTTP. It uses port 443.
I&O,input and output
IaaS (Infrastructure as a Service),Cloud-hosted provider of virtualized servers and networks.
ICMP (Internet Control Message Protocol),A protocol used with IP that attempts to report on the condition of a connection between two nodes.
intelligent character recognition (ICR),software that can interpret handprinted text written on paper forms
Integrated Drive Electronics (IDE),An early PC hard drive interface. (1)
Intrusion Detection System (IDS),A device designed to be active security; it can detect an attack as it occurs.
IEEE,"Institute of Electrical and Electronic Engineers. International organization with a focus on electrical, electronics, and information technology topics. IEEE standards are well respected and followed by vendors around the world."
IIS (Internet Information Services),"a set of Internet-based services for servers created by Microsoft for use with Microsoft Windows. It is the world's second most popular web server in terms of overall websites behind the industry leader Apache HTTP Server. The servers currently include FTP, SMTP, NNTP, and HTTP/HTTPS."
IMAP (Internet Message Access Protocol),a common protocol for retrieving email messages via the Internet
IMEI (International Mobile Equipment Identity),A unique number that identifies a mobile phone or tablet device worldwide. The number can usually be found imprinted on the device or reported in the About menu of the OS.
IMSI (International Mobile Subscriber Identity),"A unique number that represents the actual user associated with a particular SIM card. The IMSI is usually available from the carrier, to ensure that stolen phones are not misused. The IMSI number can be used to unlock a phone as well"
IP address,A number that uniquely identifies each computer or device connected to the Internet.
IPCONFIG (Internet Protocol Configuration),Displays all current TCP/IP network configuration values and refreshes DHCP and DNS settings.
IPP (Internet Printing Protocol),"Allows programs to sent one or more print jobs to the printer or print server and perform administration such as querying the status of a printer, obtaining the status of print jobs, or canceling individual print jobs."
IPS (Intrusion Prevention System),"A dedicated device or software running on a workstation, server, or switch, that stands between the attacker and the network or host, and can prevent traffic from reaching the protected network or host."
IPSec (Internet Protocol Security),"A Layer 3 protocol that defines encryption, authentication, and key management for TCP/IP transmissions. IPSec is an enhancement to IPv4 and is native to IPv6. IPSec is unique among authentication methods in that it adds security information to the header of all IP packets."
IR (infrared),"A line-of-sight wireless standard. It allows devices to transmit and receive data using LEDs and IR sensors, similarly to how TV remote controllers work."
IrDA (Infrared Data Association),An organization that develops and maintains IR standards.
IRP (Incident Response Plan),The optimum approach for escalation is based on a thorough integration of this monitoring process.
IRQ (Interrupt Request),A microprocessor priority system that assigns a number to each expansion adapter or port to facilitate orderly communication.
ISA (Industry Standard Architecture),"Industry Standard<br>Architecture design was found in the original IBM PC for the<br>slots that allowed additional hardware to be connected to the<br>computer's motherboard. An 8-bit, 8.33-MHz expansion bus<br>was designed by IBM for its AT computer and released to the<br>public domain. An improved 16-bit bus was also released to<br>the public domain. Replaced by PCI in the mid-1990s."
ISDN (Integrated Services Digital Network),A broadband telephone line that can carry data at about five times the speed of regular telephone lines. Two channels (telephone numbers) share a single pair of wires. ISDN has been replaced by DSL.
International Organization for Standardization ISO,A federation of national standards organizations that develops and publishes international standards.
ISP,(Internet Service Provider) A company that provides access to the Internet.
JBOD (Just a Bunch of Disks),A colloquial term for a drive array that is not configured to use RAID or any other type of special fault-tolerance mechanism.
KB (Knowledge Base),"A central website that usually provides a wealth of knowledge, documentation, and other support information about a particular product"
KVM (Kernel-based Virtual Machine),An open source virtualization package designed for use with Linux systems.
KVM (keyboard video mouse),"A switch that allows multiple computers to share a single keyboard, video display, and monitor."
LAN (Local Area Network),"A network of computers and other devices that is confined to a relatively small space, such as one building or even one office."
LBA (logical block addressing),Translation (algorithm) of IDE drives promoted by Western Digital as a standardized method for breaking the 504-MB limit in IDE drives. Subsequently universally adopted by the PC industry and standard on all EIDE drives.
LC (Lucent Connector),Connector used with fiber cables. It was developed by Lucent Technologies and is a miniaturized version of the SC connector.
LCD (liquid crystal display),Type of display commonly used on portable computers. LCDs have also replaced CRTs as the display of choice for desktop computer users. LCDs use liquid crystals and electricity to produce images on the screen.
LDAP (Lightweight Directory Access Protocol),"A communications protocol that defines how a client can access information, perform operations, and share directory data on a server."
LED (light-emitting diode),A technology used in an LCD monitor that uses less mercury than earlier technologies.
LPD/LPR (line printer daemon/line printer remote),A UNIX-based protocol used to print to printers over a network.
LPT (Line Printer Terminal),Assignments of system resources that are made to a parallel port and that are used to manage a print job. Two possible LPT configurations are referred to as LPT1: and LPT2:.
LVD (low voltage differential),"Sometimes called LVD signaling (LVDS), a standard that transmits data as the difference in voltages between two wires in a pair. It is used by SATA, FireWire, AMDs HyperTransport, and PCIe."
Media Access Control (MAC),An address for communications on the physical network segment.
Mandatory Access Control (MAC),A means of restricting access to data based on varying degrees of security requirements for information contained in the objects and the corresponding security clearance of users or programs acting on their behalf.
MAN (Metropolitan Area Network),"A network that is larger than a LAN, typically connecting clients and servers from multiple buildings, but within a limited geographic area. For example, a ____ could connect multiple city government buildings around a city's center."
MAPI (Messaging Application Programming Interface),A Windows programming interface that provides applications with a standard way to communicate when sending e-mail.
mATX,Micro Advanced Technology Extended. Fits cases that follows ATX 2.1 or higher.
Media Access Unit (MAU),A unit in a Token Ring topology which passes packets to computers on the network.
MBR (Master Boot Record),Tiny bit of code that takes control of the boot process<br>from the system BIOS.
MBSA (Microsoft Baseline Security Analyzer),Uses Windows Update Agent (WUA) to remotely scan state of computers on network.
MDM (mobile device management),Software suites designed to manage use of smartphones and tablets within an enterprise.
Multi-factor authentication (MFA),"Multi-factor authentication involves a combination of multiple methods of authentication. For example, an authentication method that uses smart cards as well as usernames and passwords can be referred to as multi-factor authentication."
MFP,multi-function product
MicroDIMM,Micro dual inline memory module (MicroDIMM) is a type of memory module commonly used in laptops due to its 172-pin count. It is part of SDRAM.
AC,Alternating Current
ACL,Access Control List
ACPI,Advanced Configuration Power Interface
ADF,Automatic Document Feeder
ADSL,Asymmetrical Digital Subscriber Line
AES,Advanced Encryption Standard
AHCI,Advanced Host Controller Interface
AP,Access Point
APIPA,Automatic Private Internet Protocol Addressing
APM,Advanced Power Management
ARP,Address Resolution Protocol
ASR,Automated System Recovery
ATA,Advanced Technology Attachment
ATAPI,Advanced Technology Attachment Packet Interface
ATM,Asynchronous Transfer Mode
ATX,Advanced Technology Extended
AUP,Acceptable Use Policy
A/V,Audio Video
BD-R,Blu-ray Disc Recordable
BIOS,Basic Input/Output System
BD-RE,Blu-ray Disc Rewritable
BNC,Bayonet-Neill-Concelman
BSOD,Blue Screen of Death
BYOD,Bring Your Own Device
CAD,Computer-Aided Design
CAPTCHA,Completely Automated Public Turing test to tell Computers and Humans Apart
CD,Compact Disc
CD-ROM,Compact Disc-Read-Only Memory
CD-RW,Compact Disc-Rewritable
CDFS,Compact Disc File System
CERT,Computer Emergency Response Team
CFS,"Central File System, Common File System, or Command File System"
CGA,Computer Graphics and Applications
CIDR,Classless Inter-Domain Routing
CIFS,Common Internet File System
CMOS,Complementary Metal-Oxide Semiconductor
CNR,Communications and Networking Riser
COMx,Communication port (x=port number)
CPU,Central Processing Unit
CRT,Cathode-Ray Tube
DaaS,Data as a Service
DAC,Discretionary Access Control
DB-25,"Serial Communications D-Shell Connector, 25 pins"
DB-9 S,"erial Communications D-Shell Connector, 9 pins"
DBaaS,Database as a Service
DC,Direct Current
DDoS,Distributed Denial of Service
DDR,Double Data Rate
DDR RAM,Double Data Rate Random Access Memory
DFS,Distributed File System
DHCP,Dynamic Host Configuration Protocol
DIMM,Dual Inline Memory Module
DIN,Deutsche Industrie Norm
DLT,Digital Linear Tape
DLP,Digital Light Processing or Data Loss Prevention
DMA,Direct Memory Access
DMZ,Demilitarized Zone
DNS,Domain Name Service or Domain Name Server
DoS,Denial of Service
DRAM,Dynamic Random Access Memory
DRM,Digital Rights Management
DSL,Digital Subscriber Line
DVD,Digital Versatile Disc
DVD-RAM,Digital Versatile Disc-Random Access Memory
DVD-ROM,Digital Versatile Disc-Read Only Memory
DVD-R,Digital Versatile Disc-Recordable
DVD-RW,Digital Versatile Disc-Rewritable
DVI,Digital Visual Interface
DVI-D,Digital Visual Interface--Digital
ECC,Error Correcting Code
ECP,Extended Capabilities Port
EEPROM,Electrically Erasable Programmable Read-Only Memory
EFS,Encrypting File System
EIDE,Enhanced Integrated Drive Electronics
EMI,Electromagnetic Interference
EMP,Electromagnetic Pulse
EPROM,Erasable Programmable Read-Only Memory
EPP,Enhanced Parallel Port
ERD,Emergency Repair Disk
eSATA,External Serial Advanced Technology Attachment
ESD,Electrostatic Discharge
EULA,End User License Agreement
EVGA,Extended Video Graphics Adapter/Array
Ext2,Second Extended File System
exFAT,Extended File Allocation Table
FAT,File Allocation Table
FAT12,12-bit File Allocation Table
FAT16,16-bit File Allocation Table
FAT32,32-bit File Allocation Table
FDD,Floppy Disk Drive
FPM,Fast Page Mode
FSB,Front-Side Bus
FTP,File Transfer Protocol
FQDN,Fully Qualified Domain Name
GDDR,Graphics Double Data Rate
GDI,Graphics Device Interface
GUI,Graphical User Interface
GUID,Globally Unique Identifier
GPS,Global Positioning System
GPT,GUID Partition Table
GPU,Graphics Processing Unit
GSM,Global System for Mobile Communications
HAL,Hardware Abstraction Layer
HAV,Hardware Assisted Virtualization
HCL,Hardware Compatibility List
HDCP,High-Bandwidth Digital Content Protection
HDD,Hard Disk Drive
HDMI,High Definition Media Interface
HIPS,Host Intrusion Prevention System
HPFS,High Performance File System
HTML,Hypertext Markup Language
HTPC,Home Theater PC
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
I/O,Input/Output
IaaS,Infrastructure as a Service
ICMP,Internet Control Message Protocol
ICR,Intelligent Character Recognition
IDE,Integrated Drive Electronics
IDS,Intrusion Detection System
IEEE,Institute of Electrical and Electronics Engineers
IIS,Internet Information Services
IMAP,Internet Mail Access Protocol
IMEI,International Mobile Equipment Identity
IMSI,International Mobile Subscriber Identity
IP,Internet Protocol
IPConfig,Internet Protocol Configuration
IPP,Internet Printing Protocol
IPS,Intrusion Prevention System
IPSec,Internet Protocol Security
IR,Infrared
IrDA,Infrared Data Association
IRP,Incident Response Plan
IRQ,Interrupt Request
ISA,Industry Standard Architecture
ISDN,Integrated Services Digital Network
ISO,International Organization for Standardization
ISP,Internet Service Provider
JBOD,Just a Bunch of Disks
KB,Knowledge Base
KVM,Kernel-based Virtual Machine
KVM,Keyboard-Video-Mouse
LAN,Local Area Network
LBA,Logical Block Addressing
LC,Lucent Connector
LCD,Liquid Crystal Display
LDAP,Lightweight Directory Access Protocol
LED,Light Emitting Diode
LPD/LPR,Line Printer Daemon/Line Printer Remote
LPT,Line Printer Terminal
LVD,Low Voltage Differential
MAC,Media Access Control/Mandatory Access Control
MAN,Metropolitan Area Network
MAPI,Messaging Application Programming Interface
mATX,Micro Advanced Technology Extended
MAU,Media Access Unit/Media Attachment Unit
MBR,Master Boot Record
MBSA,Microsoft Baseline Security Analyzer
MDM,Mobile Device Management
MFA,Multifactor Authentication
MFD,Multifunction Device
MFP,Multifunction Product
MicroDIMM,Micro Dual Inline Memory Module
MIDI,Musical Instrument Digital Interface
MIME,Multipurpose Internet Mail Extension
MIMO,Multiple Input Multiple Output
MMC,Microsoft Management Console
MP3,Moving Picture Experts Group Layer 3 Audio
MP4,Moving Picture Experts Group Layer 4
MPEG,Moving Picture Experts Group
MSConfig,Microsoft Configuration
MSDS,Material Safety Data Sheet
MT-RJ,Mechanical Transfer Registered Jack
MUI,Multilingual User Interface
NaaS,Network as a Service
NAC,Network Access Control
NAS,Network-Attached Storage
NAT,Network Address Translation
NetBIOS,Networked Basic Input/Output System
NetBEUI,Networked Basic Input/Output System Extended User Interface
NFC,Near Field Communication
NFS,Network File System
NIC,Network Interface Card
NiCd,Nickel Cadmium
NiMH,Nickel Metal Hydride
NLX,New Low-profile Extended
NNTP,Network News Transfer Protocol
NTFS,New Technology File System
NTLDR,New Technology Loader
NTP,Network Time Protocol
NTSC,National Transmission Standards Committee
NVMe,Non-volatile Memory Express
OCR,Optical Character Recognition
OEM,Original Equipment Manufacturer
OLED,Organic Light Emitting Diode
OS,Operating System
PaaS,Platform as a Service
PAL,Phase Alternating Line
PAN,Personal Area Network
PAT,Port Address Translation
PC,Personal Computer
PCI,Peripheral Component Interconnect
PCI,Payment Card Industry
PCIe,Peripheral Component Interconnect Express
PCIX,Peripheral Component Interconnect Extended
PCL,Printer Command Language
PCMCIA,Personal Computer Memory Card International Association
PE,Preinstallation Environment
PGA,Pin Grid Array
PGA2,Pin Grid Array 2
PGP,Pretty Good Protection
PII,Personally Identifiable Information
PIN,Personal Identification Number
PHI,Personal Health Information
PKI,Public Key Infrastructure
PnP,Plug and Play
PoE,Power over Ethernet
POP3,Post Office Protocol 3
PoS,Point of Sale
POST,Power-On Self-Test
POTS,Plain Old Telephone Service
PPM,Pages Per Minute
PPP,Point-to-Point Protocol
PPTP,Point-to-Point Tunneling Protocol
PRI,Primary Rate Interface
PROM,Programmable Read-Only Memory
PS/2,Personal System/2 connector
PSTN,Public Switched Telephone Network
PSU,Power Supply Unit
PVA,Patterned Vertical Alignment
PVC,Permanent Virtual Circuit
PXE,Preboot Execution Environment
QoS,Quality of Service
RADIUS,Remote Authentication Dial-In User Server
RAID,Redundant Array of Independent (or Inexpensive) Disks
RAM,Random Access Memory
RAS,Remote Access Service
RDP,Remote Desktop Protocol
RF,Radio Frequency
RFI,Radio Frequency Interference
RFID,Radio Frequency Identification
RGB,Red Green Blue
RIP,Routing Information Protocol
RIS,Remote Installation Service
RISC,Reduced Instruction Set Computer
RJ-11,Registered Jack Function 11
RJ-45,Registered Jack Function 45
RMA,Returned Materials Authorization
ROM,Read-Only Memory
RPO,Recovery Point Objective
RTC,Real-Time Clock
RT,Recovery Time Objective
Saas S,oftware as a Service
SAN,Storage Area Network
SAS,Serial Attached SCSI
SATA,Serial Advanced Technology Attachment
SC,Subscription Channel
SCP,Secure Copy Protection
SCSI,Small Computer System Interface
SCSI ID,Small Computer System Interface Identifier
SD,card Secure Digital Card
SEC,Single Edge Connector
SFC,System File Checker
SFF,Small Form Factor
SFTP,Secure File Transfer Protocol
SIM,Subscriber Identity Module
SIMM,Single In-Line Memory Module
SLI,Scalable Link Interface or System Level Integration or Scanline Interleave Mode
S.M.A.R.T.,"Self-Monitoring, Analysis, and Reporting Technology"
SMB,Server Message Block
SMTP,Simple Mail Transfer Protocol
SNMP,Simple Network Management Protocol
SoDIMM,Small Outline Dual Inline Memory Module
SOHO,Small Office/Home Office
SP,Service Pack
SPDIF,Sony-Philips Digital Interface Format
SPGA,Staggered Pin Grid Array
SRAM,Static Random Access Memory
SSD,Solid State Drive
SSH,Secure Shell
SSID,Service Set Identifier
SSL,Secure Sockets Layer
SSO,Single Sign-on
ST,Straight Tip
STP,Shielded Twisted Pair
SXGA,Super Extended Graphics Array
TACACS,Terminal Access Controller Access-Control System
TCP,Transmission Control Protocol
TCP/IP,Transmission Control Protocol/Internet Protocol
TDR,Time Domain Reflectometer
TFTP,Trivial File Transfer Protocol
TKIP,Temporal Key Integrity Protocol
TLS,Transport Layer Security
TN,Twisted Nematic
TPM,Trusted Platform Module
UAC,User Account Control
UDF,User Defined Functions or Universal
Disk,Format or Universal Data Format
UDP,User Datagram Protocol
UEFI,Unified Extensible Firmware Interface
UNC,Universal Naming Convention
UPnP,Universal Plug and Play
UPS,Uninterruptible Power Supply
URL,Uniform Resource Locator
USB,Universal Serial Bus
USMT,User State Migration Tool
UTM,Unified Threat Management
UTP,Unshielded Twisted Pair
UXGA,Ultra Extended Graphics Array
VA,Vertical Alignment
VDC,Volts DC
VDI,Virtual Desktop Infrastructure
VESA,Video Electronics Standards Association
VFAT,Virtual File Allocation Table
VGA,Video Graphics Array
VLAN,Virtual LAN
VM,Virtual Machine
VNC,Virtual Network Computer
VoIP,Voice over Internet Protocol
VPN,Virtual Private Network
VRAM,Video Random Access Memory
WAN,Wide Area Network
WAP,Wireless Access Protocol/Wireless Access Point
WEP,Wired Equivalent Privacy
WIFI,Wireless Fidelity
WINS,Windows Internet Name Service
WLAN,Wireless Local Area Network
WMN,Wireless Mesh Network
WPA,Wireless Protected Access
WPA2,WiFi Protected Access 2
WPS,WiFi Protected Setup
WUXGA,Wide Ultra Extended Graphics Array
WWAN,Wireless Wide Area Network
XGA,Extended Graphics Array
ZIF,Zero-Insertion-Force
ZIP,Zigzag Inline Package
